from_node,to_node
An0,An1
An0,An2
An0,An3
An1,An2
An1,An3
An2,An3
An0,An4
An1,An4
An2,An4
An3,An4
An0,An5
An2,An5
An3,An5
An4,An5
An2,An6
An3,An6
An4,An6
An5,An6
An0,An7
An1,An7
An5,An7
An6,An7
An0,An8
An1,An8
An3,An8
An5,An8
An8,An9
An1,An9
An3,An9
An4,An9
An0,An10
An9,An10
An3,An10
An1,An10
An0,An11
An10,An11
An3,An11
An7,An11
An8,An12
An0,An12
An2,An12
An1,An12
An4,An13
An5,An13
An6,An13
An7,An13
An0,An14
An2,An14
An3,An14
An6,An14
An1,An15
An4,An15
An5,An15
An7,An15
An1,An16
An3,An16
An12,An16
An6,An16
An1,An17
An2,An17
An3,An17
An6,An17
An17,An18
An13,An18
An14,An18
An6,An18
An18,An19
An3,An19
An12,An19
An7,An19
An1,An20
An3,An20
An4,An20
An5,An20
An1,An21
An2,An21
An5,An21
An7,An21
An1,An22
An2,An22
An4,An22
An7,An22
An11,An23
An2,An23
An3,An23
An6,An23
An0,An24
An11,An24
An20,An24
An12,An24
An0,An25
An17,An25
An2,An25
An22,An25
An0,An26
An25,An26
An19,An26
An5,An26
An0,An27
An1,An27
An26,An27
An12,An27
An8,An28
An1,An28
An2,An28
An9,An28
An17,An29
An26,An29
An27,An29
An7,An29
An8,An30
An19,An30
An26,An30
An3,An30
An29,An31
An11,An31
An5,An31
An7,An31
An19,An32
An1,An32
An3,An32
An4,An32
An0,An33
An1,An33
An19,An33
An6,An33
An0,An34
An2,An34
An19,An34
An20,An34
An34,An35
An15,An35
An23,An35
An7,An35
An32,An36
An17,An36
An34,An36
An7,An36
An32,An37
An2,An37
An27,An37
An20,An37
An17,An38
An3,An38
An4,An38
An21,An38
An0,An39
An20,An39
An36,An39
An29,An39
An3,An40
An19,An40
An5,An40
An15,An40
An8,An41
An11,An41
An20,An41
An5,An41
An32,An42
An18,An42
An3,An42
An38,An42
An32,An43
An1,An43
An4,An43
An9,An43
An40,An44
An41,An44
An27,An44
An19,An44
An2,An45
An11,An45
An4,An45
An21,An45
An18,An46
An43,An46
An34,An46
An3,An46
An0,An47
An43,An47
An6,An47
An7,An47
An2,An48
An3,An48
An38,An48
An7,An48
An8,An49
An21,An49
An10,An49
An13,An49
An1,An50
An11,An50
An13,An50
An15,An50
An0,An51
An1,An51
An9,An51
An39,An51
An2,An52
An3,An52
An38,An52
An7,An52
An1,An53
An2,An53
An29,An53
An23,An53
An32,An54
An8,An54
An6,An54
An17,An54
An32,An55
An51,An55
An5,An55
An30,An55
An11,An56
An0,An56
An3,An56
An17,An56
An25,An57
An26,An57
An6,An57
An15,An57
An8,An58
An9,An58
An50,An58
An13,An58
An26,An59
An3,An59
An12,An59
An58,An59
An0,An60
An3,An60
An51,An60
An20,An60
An8,An61
An45,An61
An59,An61
An29,An61
An1,An62
An34,An62
An6,An62
An15,An62
An0,An63
An13,An63
An3,An63
An61,An63
An1,An64
An58,An64
