from_node,to_node
n0,n1
n0,n2
n0,n3
n0,n4
n0,n5
n0,n6
n0,n7
n1,n2
n1,n3
n1,n4
n1,n5
n1,n6
n1,n7
n2,n3
n2,n4
n2,n5
n2,n6
n2,n7
n3,n4
n3,n5
n3,n6
n3,n7
n4,n5
n4,n6
n4,n7
n5,n6
n5,n7
n6,n7
n0,n8
n1,n8
n2,n8
n3,n8
n4,n8
n5,n8
n6,n8
n7,n8
n1,n9
n2,n9
n3,n9
n4,n9
n5,n9
n6,n9
n7,n9
n8,n9
n1,n10
n2,n10
n4,n10
n5,n10
n6,n10
n7,n10
n8,n10
n9,n10
n0,n11
n2,n11
n3,n11
n4,n11
n6,n11
n7,n11
n9,n11
n10,n11
n1,n12
n2,n12
n4,n12
n5,n12
n8,n12
n9,n12
n10,n12
n11,n12
n1,n13
n2,n13
n5,n13
n6,n13
n7,n13
n9,n13
n11,n13
n12,n13
n1,n14
n2,n14
n3,n14
n5,n14
n8,n14
n9,n14
n11,n14
n12,n14
n1,n15
n2,n15
n4,n15
n6,n15
n7,n15
n9,n15
n12,n15
n13,n15
n1,n16
n2,n16
n5,n16
n6,n16
n8,n16
n9,n16
n10,n16
n14,n16
n3,n17
n5,n17
n6,n17
n8,n17
n10,n17
n12,n17
n13,n17
n16,n17
n0,n18
n3,n18
n4,n18
n5,n18
n8,n18
n9,n18
n12,n18
n13,n18
n2,n19
n5,n19
n6,n19
n8,n19
n9,n19
n10,n19
n14,n19
n18,n19
n3,n20
n6,n20
n7,n20
n8,n20
n9,n20
n10,n20
n11,n20
n19,n20
n2,n21
n3,n21
n7,n21
n8,n21
n9,n21
n10,n21
n14,n21
n20,n21
n5,n22
n7,n22
n8,n22
n9,n22
n10,n22
n16,n22
n20,n22
n21,n22
n2,n23
n6,n23
n8,n23
n11,n23
n13,n23
n16,n23
n19,n23
n22,n23
n2,n24
n3,n24
n7,n24
n10,n24
n13,n24
n14,n24
n16,n24
n17,n24
n0,n25
n4,n25
n5,n25
n6,n25
n8,n25
n14,n25
n16,n25
n24,n25
n1,n26
n5,n26
n7,n26
n8,n26
n9,n26
n10,n26
n15,n26
n16,n26
n1,n27
n6,n27
n8,n27
n9,n27
n10,n27
n11,n27
n12,n27
n17,n27
n0,n28
n1,n28
n2,n28
n5,n28
n8,n28
n13,n28
n22,n28
n23,n28
n1,n29
n2,n29
n6,n29
n9,n29
n10,n29
n11,n29
n14,n29
n21,n29
n2,n30
n5,n30
n7,n30
n11,n30
n15,n30
n16,n30
n22,n30
n28,n30
n2,n31
n5,n31
n9,n31
n16,n31
n18,n31
n25,n31
n27,n31
n30,n31
n2,n32
n3,n32
n6,n32
n7,n32
n15,n32
n24,n32
n27,n32
n30,n32
n32,n33
n3,n33
n4,n33
n5,n33
n7,n33
n9,n33
n19,n33
n23,n33
n0,n34
n1,n34
n32,n34
n3,n34
n2,n34
n21,n34
n22,n34
n29,n34
n5,n35
n7,n35
n8,n35
n9,n35
n10,n35
n21,n35
n23,n35
n28,n35
n3,n36
n5,n36
n6,n36
n8,n36
n12,n36
n14,n36
n16,n36
n29,n36
n0,n37
n5,n37
n8,n37
n15,n37
n18,n37
n22,n37
n27,n37
n28,n37
n2,n38
n5,n38
n6,n38
n9,n38
n10,n38
n13,n38
n19,n38
n25,n38
n36,n39
n5,n39
n6,n39
n7,n39
n8,n39
n13,n39
n21,n39
n24,n39
n2,n40
n3,n40
n6,n40
n7,n40
n10,n40
n13,n40
n23,n40
n27,n40
n1,n41
n5,n41
n14,n41
n17,n41
n19,n41
n20,n41
n29,n41
n30,n41
n0,n42
n3,n42
n9,n42
n16,n42
n18,n42
n19,n42
n21,n42
n24,n42
n32,n43
n0,n43
n2,n43
n6,n43
n13,n43
n17,n43
n20,n43
n23,n43
n2,n44
n6,n44
n7,n44
n8,n44
n9,n44
n12,n44
n14,n44
n31,n44
n1,n45
n2,n45
n7,n45
n9,n45
n10,n45
n13,n45
n16,n45
n27,n45
n0,n46
n34,n46
n6,n46
n40,n46
n10,n46
n18,n46
n21,n46
n25,n46
n6,n47
n7,n47
n10,n47
n18,n47
n21,n47
n24,n47
n27,n47
n31,n47
n2,n48
n3,n48
n37,n48
n6,n48
n8,n48
n9,n48
n10,n48
n19,n48
n33,n49
n38,n49
n10,n49
n11,n49
n17,n49
n18,n49
n20,n49
n27,n49
n2,n50
n5,n50
n8,n50
n10,n50
n13,n50
n46,n50
n15,n50
n17,n50
n1,n51
n8,n51
n10,n51
n43,n51
n42,n51
n46,n51
n21,n51
n28,n51
n2,n52
n34,n52
n9,n52
n47,n52
n18,n52
n23,n52
n25,n52
n27,n52
n32,n53
n1,n53
n5,n53
n6,n53
n8,n53
n10,n53
n17,n53
n49,n53
n0,n54
n9,n54
n10,n54
n13,n54
n14,n54
n18,n54
n23,n54
n26,n54
n34,n55
n3,n55
n7,n55
n43,n55
n12,n55
n46,n55
n47,n55
n14,n55
n34,n56
n11,n56
n44,n56
n13,n56
n19,n56
n52,n56
n51,n56
n29,n56
n0,n57
n2,n57
n4,n57
n6,n57
n8,n57
n10,n57
n50,n57
n19,n57
n0,n58
n1,n58
n6,n58
n11,n58
n43,n58
n13,n58
n15,n58
n51,n58
n0,n59
n3,n59
n4,n59
n14,n59
n16,n59
n19,n59
n24,n59
n58,n59
n1,n60
n2,n60
n5,n60
n43,n60
n44,n60
n13,n60
n19,n60
n31,n60
n0,n61
n3,n61
n35,n61
n47,n61
n15,n61
n53,n61
n55,n61
n57,n61
n2,n62
n3,n62
n5,n62
n7,n62
n44,n62
n14,n62
n16,n62
n54,n62
n3,n63
n39,n63
n9,n63
n10,n63
n13,n63
n16,n63
n19,n63
n21,n63
n3,n64
n6,n64
n42,n64
n53,n64
n54,n64
n27,n64
n29,n64
n63,n64
n2,n65
n3,n65
n8,n65
n10,n65
n12,n65
n46,n65
n60,n65
n63,n65
n0,n66
n1,n66
n5,n66
n10,n66
n12,n66
n16,n66
n29,n66
n63,n66
n65,n67
n34,n67
n7,n67
n39,n67
n10,n67
n52,n67
n25,n67
n58,n67
n0,n68
n3,n68
n5,n68
n9,n68
n13,n68
n17,n68
n18,n68
n52,n68
n1,n69
n2,n69
n67,n69
n68,n69
n8,n69
n11,n69
n47,n69
n20,n69
n34,n70
n5,n70
n6,n70
n39,n70
n44,n70
n14,n70
n15,n70
n16,n70
n66,n71
n6,n71
n10,n71
n18,n71
n21,n71
n56,n71
n57,n71
n27,n71
n5,n72
n70,n72
n17,n72
n18,n72
n52,n72
n57,n72
n59,n72
n31,n72
n2,n73
n9,n73
n43,n73
n14,n73
n47,n73
n46,n73
n57,n73
n60,n73
n38,n74
n41,n74
n10,n74
n43,n74
n44,n74
n19,n74
n60,n74
n61,n74
n1,n75
n6,n75
n7,n75
n19,n75
n24,n75
n25,n75
n59,n75
n61,n75
n5,n76
n7,n76
n54,n76
n55,n76
n24,n76
n25,n76
n60,n76
n62,n76
n0,n77
n5,n77
n6,n77
n70,n77
n8,n77
n12,n77
n13,n77
n54,n77
n3,n78
n35,n78
n38,n78
n9,n78
n11,n78
n14,n78
n20,n78
n59,n78
n2,n79
n69,n79
n13,n79
n47,n79
n52,n79
n24,n79
n27,n79
n63,n79
n34,n80
n2,n80
n10,n80
n77,n80
n15,n80
n16,n80
n51,n80
n54,n80
n2,n81
n35,n81
n37,n81
n7,n81
n10,n81
n49,n81
n18,n81
n20,n81
n68,n82
n69,n82
n6,n82
n14,n82
n81,n82
n20,n82
n59,n82
n63,n82
n1,n83
n3,n83
n14,n83
n15,n83
n24,n83
n25,n83
n26,n83
n29,n83
n33,n84
n36,n84
n5,n84
n7,n84
n9,n84
n73,n84
n44,n84
n21,n84
n0,n85
n33,n85
n66,n85
n38,n85
n72,n85
n12,n85
n29,n85
n62,n85
n1,n86
n72,n86
n42,n86
n43,n86
n13,n86
n17,n86
n61,n86
n31,n86
n33,n87
n5,n87
n6,n87
n8,n87
n12,n87
n45,n87
n15,n87
n17,n87
n3,n88
n67,n88
n75,n88
n76,n88
n83,n88
n52,n88
n53,n88
n57,n88
n1,n89
n33,n89
n4,n89
n74,n89
n13,n89
n84,n89
n22,n89
n26,n89
n2,n90
n67,n90
n5,n90
n37,n90
n14,n90
n17,n90
n20,n90
n28,n90
n2,n91
n35,n91
n3,n91
n7,n91
n62,n91
n25,n91
n90,n91
n30,n91
n65,n92
n2,n92
n66,n92
n39,n92
n74,n92
n14,n92
n47,n92
n57,n92
n32,n93
n0,n93
n3,n93
n13,n93
n80,n93
n24,n93
n25,n93
n61,n93
n34,n94
n70,n94
n7,n94
n19,n94
n52,n94
n21,n94
n61,n94
n29,n94
n1,n95
n3,n95
n70,n95
n8,n95
n19,n95
n83,n95
n57,n95
n60,n95
n0,n96
n35,n96
n5,n96
n6,n96
n19,n96
n23,n96
n24,n96
n57,n96
n1,n97
n69,n97
n6,n97
n7,n97
n37,n97
n44,n97
n17,n97
n30,n97
n0,n98
n5,n98
n8,n98
n10,n98
n76,n98
n18,n98
n87,n98
n61,n98
n3,n99
n76,n99
n45,n99
n83,n99
n21,n99
n86,n99
n58,n99
n30,n99
n1,n100
n98,n100
n3,n100
n8,n100
n75,n100
n14,n100
n86,n100
n29,n100
n0,n101
n1,n101
n98,n101
n83,n101
n20,n101
n86,n101
n93,n101
n95,n101
n0,n102
n4,n102
n44,n102
n77,n102
n47,n102
n83,n102
n20,n102
n27,n102
n2,n103
n9,n103
n10,n103
n11,n103
n76,n103
n16,n103
n22,n103
n87,n103
n101,n104
n11,n104
n16,n104
n83,n104
n84,n104
n21,n104
n26,n104
n60,n104
n98,n105
n2,n105
n34,n105
n5,n105
n71,n105
n39,n105
n21,n105
n89,n105
n1,n106
n3,n106
n4,n106
n9,n106
n81,n106
n19,n106
n56,n106
n26,n106
n1,n107
n34,n107
n102,n107
n7,n107
n13,n107
n80,n107
n20,n107
n57,n107
n4,n108
n5,n108
n47,n108
n49,n108
n86,n108
n23,n108
n87,n108
n25,n108
n2,n109
n3,n109
n16,n109
n19,n109
n20,n109
n57,n109
n60,n109
n31,n109
n97,n110
n6,n110
n14,n110
n16,n110
n21,n110
n57,n110
n59,n110
n30,n110
n34,n111
n73,n111
n12,n111
n15,n111
n80,n111
n19,n111
n24,n111
n26,n111
n0,n112
n6,n112
n83,n112
n23,n112
n25,n112
n90,n112
n57,n112
n31,n112
n3,n113
n70,n113
n47,n113
n82,n113
n83,n113
n87,n113
n27,n113
n93,n113
n100,n114
n5,n114
n7,n114
n71,n114
n13,n114
n19,n114
n85,n114
n63,n114
n2,n115
n26,n115
n3,n115
n73,n115
n108,n115
n21,n115
n56,n115
n90,n115
n96,n116
n105,n116
n108,n116
n18,n116
n50,n116
n25,n116
n27,n116
n92,n116
n3,n117
n68,n117
n9,n117
n13,n117
n17,n117
n50,n117
n115,n117
n28,n117
n96,n118
n2,n118
n5,n118
n6,n118
n74,n118
n10,n118
n54,n118
n31,n118
n98,n119
n4,n119
n38,n119
n108,n119
n48,n119
n52,n119
n56,n119
n92,n119
n38,n120
n7,n120
n46,n120
n48,n120
n16,n120
n21,n120
n86,n120
n61,n120
n1,n121
n34,n121
n70,n121
n75,n121
n12,n121
n110,n121
n79,n121
n21,n121
n1,n122
n33,n122
n3,n122
n12,n122
n45,n122
n17,n122
n28,n122
n29,n122
n71,n123
n8,n123
n106,n123
n74,n123
n12,n123
n16,n123
n83,n123
n26,n123
n7,n124
n107,n124
n110,n124
n50,n124
n21,n124
n22,n124
n26,n124
n28,n124
n32,n125
n2,n125
n70,n125
n39,n125
n9,n125
n44,n125
n53,n125
n89,n125
n70,n126
n103,n126
n6,n126
n75,n126
n44,n126
n86,n126
n94,n126
n31,n126
n2,n127
n98,n127
n100,n127
n7,n127
n73,n127
n44,n127
n15,n127
n29,n127
n64,n128
n5,n128
n7,n128
n9,n128
n52,n128
n85,n128
n25,n128
n94,n128
n72,n129
n12,n129
n16,n129
n30,n129
n85,n129
n55,n129
n29,n129
n62,n129
n3,n130
n9,n130
n74,n130
n12,n130
n114,n130
n54,n130
n119,n130
n88,n130
n70,n131
n73,n131
n13,n131
n79,n131
n47,n131
n50,n131
n86,n131
n61,n131
n96,n132
n65,n132
n35,n132
n101,n132
n9,n132
n74,n132
n43,n132
n57,n132
n6,n133
n7,n133
n107,n133
n108,n133
n46,n133
n112,n133
n19,n133
n27,n133
n32,n134
n37,n134
n72,n134
n44,n134
n78,n134
n16,n134
n17,n134
n112,n134
n0,n135
n2,n135
n40,n135
n73,n135
n12,n135
n50,n135
n120,n135
n123,n135
n96,n136
n68,n136
n73,n136
n14,n136
n16,n136
n49,n136
n26,n136
n123,n136
n96,n137
n37,n137
n103,n137
n72,n137
n11,n137
n16,n137
n116,n137
n25,n137
n65,n138
n2,n138
n39,n138
n9,n138
n10,n138
n80,n138
n88,n138
n89,n138
