from_node,to_node
"Chotaro Engineering, Co.","RICOH COMPANY, LTD."
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,LUDWIG INSTITUTE FOR CANCER RESEARCH LTD
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Massachusetts Institute of Technology
LUDWIG INSTITUTE FOR CANCER RESEARCH LTD,Massachusetts Institute of Technology
AISAN KOGYO KABUSHIKI KAISHA,DENSO CORPORATION
AISAN KOGYO KABUSHIKI KAISHA,TOYOTA JIDOSHA KABUSHIKI KAISHA
DENSO CORPORATION,TOYOTA JIDOSHA KABUSHIKI KAISHA
Alonim Holding Agricultural Cooperative Society Ltd.,CHEMETALL GMBH
University of South Florida,Yale University
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Institut National de la Sante et de la Recherche Medicale (INSERM)
NUCTECH COMPANY LIMITED,TSINGHUA UNIVERSITY
"Hanaro Telecom., Inc.",KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
"Hanaro Telecom., Inc.",KT CORPORATION
"Hanaro Telecom., Inc.","SAMSUNG ELECTRONICS CO., LTD."
"Hanaro Telecom., Inc.","SK Telecom Co., Ltd."
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KT CORPORATION
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,"SAMSUNG ELECTRONICS CO., LTD."
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,"SK Telecom Co., Ltd."
KT CORPORATION,"SAMSUNG ELECTRONICS CO., LTD."
KT CORPORATION,"SK Telecom Co., Ltd."
"SAMSUNG ELECTRONICS CO., LTD.","SK Telecom Co., Ltd."
FIH (HONG KONG) LIMITED,"SHENZHEN FUTAIHONG PRECISION INDUSTRY CO., LTD."
DENSO CORPORATION,"NIPPON SOKEN, INC."
"HITACHI CAR ENGINEERING CO., LTD.","HITACHI, LTD."
E.I. DU PONT DE NEMOURS AND COMPANY,Magellan Systems International LLC
UNIVERZITA PALACKÉHO V OLOMOUCI,Univerzita Karlova V Praze
"NIPPON SOKEN, INC.",TOYOTA JIDOSHA KABUSHIKI KAISHA
Kabushiki Kaisha Toshiba,TOSHIBA MEDICAL SYSTEMS CORPORATION
"Beckman Coulter, Inc.",UNIVERSITY HEALTH NETWORK
E.I. DU PONT DE NEMOURS AND COMPANY,"PIONEER HI-BRED INTERNATIONAL, INC."
"Foxconn Technology Group Co., Ltd.","Fu Zhun Precision Industry (Shen Zhen) Co., Ltd."
"Agrihouse, Inc.",The Regents of the University of Colorado
National Institute of Advanced Industrial Science and Technology,"Tsukasa Sokken Co., Ltd."
"HON HAI PRECISION INDUSTRY CO., LTD.",TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED
North Carolina State University,"Sicel Technologies, Inc."
PIRELLI & C. S.P.A.,TELECOM ITALIA S.p.A.
"NHK SPRING CO., LTD.",TOKYO ELECTRON LIMITED
MITSUBISHI PHARMA CORPORATION,University of Virginia Patent Foundation
SONY ELECTRONICS INC.,SONY GROUP CORPORATION
"Joyant Pharmaceuticals, Inc.",The Board of Regents of the University of Texas System
NEC CORPORATION,NEC Electronics Corporation
ELECTRIC AND TELECOMMUNICATIONS RESEARCH INSTITUTE,Information and Communications Educational Foundation
ELECTRIC AND TELECOMMUNICATIONS RESEARCH INSTITUTE,"Inter Jungbo Co., Ltd."
Information and Communications Educational Foundation,"Inter Jungbo Co., Ltd."
"MSTAR SEMICONDUCTOR, INC.",MStar France SAS
"MSTAR SEMICONDUCTOR, INC.","MStar Software R&D, Ltd."
MStar France SAS,"MStar Software R&D, Ltd."
FUJITSU GENERAL LIMITED,"Nissan Motor Co., Ltd."
Asciano Services Pty Ltd,Australian Rail Track Corporation Ltd
Asciano Services Pty Ltd,Central Queensland University
Asciano Services Pty Ltd,MONASH UNIVERSITY
Asciano Services Pty Ltd,Pacific National (Victoria) Ltd
Asciano Services Pty Ltd,QR LIMITED
Asciano Services Pty Ltd,Queensland University of Technology
Asciano Services Pty Ltd,Rail Corporation NSW
Asciano Services Pty Ltd,TMG Rail Technology Pty Ltd
Asciano Services Pty Ltd,The University Of Queensland
Asciano Services Pty Ltd,UNIVERSITY OF SOUTH AUSTRALIA
Asciano Services Pty Ltd,UNIVERSITY OF WOLLONGONG
Australian Rail Track Corporation Ltd,Central Queensland University
Australian Rail Track Corporation Ltd,MONASH UNIVERSITY
Australian Rail Track Corporation Ltd,Pacific National (Victoria) Ltd
Australian Rail Track Corporation Ltd,QR LIMITED
Australian Rail Track Corporation Ltd,Queensland University of Technology
Australian Rail Track Corporation Ltd,Rail Corporation NSW
Australian Rail Track Corporation Ltd,TMG Rail Technology Pty Ltd
Australian Rail Track Corporation Ltd,The University Of Queensland
Australian Rail Track Corporation Ltd,UNIVERSITY OF SOUTH AUSTRALIA
Australian Rail Track Corporation Ltd,UNIVERSITY OF WOLLONGONG
Central Queensland University,MONASH UNIVERSITY
Central Queensland University,Pacific National (Victoria) Ltd
Central Queensland University,QR LIMITED
Central Queensland University,Queensland University of Technology
Central Queensland University,Rail Corporation NSW
Central Queensland University,TMG Rail Technology Pty Ltd
Central Queensland University,The University Of Queensland
Central Queensland University,UNIVERSITY OF SOUTH AUSTRALIA
Central Queensland University,UNIVERSITY OF WOLLONGONG
MONASH UNIVERSITY,Pacific National (Victoria) Ltd
MONASH UNIVERSITY,QR LIMITED
MONASH UNIVERSITY,Queensland University of Technology
MONASH UNIVERSITY,Rail Corporation NSW
MONASH UNIVERSITY,TMG Rail Technology Pty Ltd
MONASH UNIVERSITY,The University Of Queensland
MONASH UNIVERSITY,UNIVERSITY OF SOUTH AUSTRALIA
MONASH UNIVERSITY,UNIVERSITY OF WOLLONGONG
Pacific National (Victoria) Ltd,QR LIMITED
Pacific National (Victoria) Ltd,Queensland University of Technology
